Altium Designer Pick and Place Locations
C:\Users\Satyam.DESKTOP-S570OAU\OneDrive - Vylt Technologies Private Limited\Altium_Designs\SCOM_SENSOR_HAT\Project Outputs for SCOM_SENSOR_HAT\CPL\Pick Place for SCOM_SENSOR_HAT.csv

========================================================================================================================
File Design Information:

Date:       17-02-25
Time:       15:33
Revision:   48307e511b3afded34f8c6f8749e63f7ac1cfa3d
Variant:    No variations
Units used: mm

"Designator","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C4","TopLayer","CAP_D10_H16_P5_-_Flat","59.9900","31.5000","0","Electrolytic Capacitor Through Hole D10 P5.0"
"C5","TopLayer","CAPC2012X13L","56.4400","23.5000","180","1uF 105 0805 (2012 metric) 50V X7R MLCC SMD"
"C6","TopLayer","CAPC2012X13L","56.4400","21.5000","180","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C7","TopLayer","CAPC2012X13L","26.1507","58.2137","0","1uF 105 0805 (2012 metric) 50V X7R MLCC SMD"
"C8","TopLayer","CAP_D10_H16_P5_-_Flat","16.5000","62.5000","180","Electrolytic Capacitor Through Hole D10 P5.0"
"C9","TopLayer","CAPC2012X13L","21.1484","57.1870","270","1uF 105 0805 (2012 metric) 50V X7R MLCC SMD"
"C10","TopLayer","CAPC2012X13L","22.9737","57.1870","270","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C11","TopLayer","CAP_D10_H16_P5_-_Flat","45.9059","67.0000","270","Electrolytic Capacitor Through Hole D10 P5.0"
"C12","TopLayer","CAPC2012X13L","50.4879","68.4500","270","1uF 105 0805 (2012 metric) 50V X7R MLCC SMD"
"C13","TopLayer","CAPC2012X13L","53.3895","68.4500","270","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
"C14","TopLayer","CAPC2012X13L","99.5000","37.5000","180","Chip Capacitor, 2-Leads, Body 2.00x1.25mm, IPC High Density"
